what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"24.79-b02",1474390577722
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474390577766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390581798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390673245
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1474390686465
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1474390686467
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1474390686546
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1474390686561
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1474390686671
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1474390686686
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1474390686960
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1474390691826
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1474390691868
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1474390691950
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1474390691990
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1474390692055
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1474390692191
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1474390692367
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1474390692407
started,bundle,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.ui",1474390693028
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1474390693118
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1474390693175
started,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1474390693269
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1474390693289
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1474390693443
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1474390694254
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1474390694402
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474390698061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390705732
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1474390705808
started,bundle,org.eclipse.pde,3.6.0.v201006080911,"org.eclipse.pde",1474390705824
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1474390705883
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1474390705898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390717373
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390717546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390719306
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1474390729035
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390729152
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1474390729152
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474390734004
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390735371
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474390735384
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390737456
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474390741954
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390742920
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390742950
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474390742963
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390746504
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1474390748545
opened,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.bugtreeview",1474390748886
activated,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.bugtreeview",1474390748910
error,log,,,"Could not create org.eclipse.swt.widgets.Composite.Browser",1474390749101
opened,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.buginfoview",1474390749105
activated,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.buginfoview",1474390749121
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390749200
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1474390749216
activated,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.bugtreeview",1474390749230
activated,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.buginfoview",1474390749237
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474390749260
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1474390749373
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1474390749491
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1474390749520
activated,view,edu.umd.cs.findbugs.plugin.eclipse,3.0.1.20150306-5afe4d1,"de.tobject.findbugs.view.bugtreeview",1474390752622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474390755987
